SYMBOL,YAHOO_SYMBOL
PAYTM,PAYTM.NS
SHRIRAMFIN,SHRIRAMFIN.NS
BHARATFORG,BHARATFORG.NS
MPHASIS,MPHASIS.NS
ASHOKLEY,ASHOKLEY.NS
PEL,PEL.NS
CIPLA,CIPLA.NS
DIVISLAB,DIVISLAB.NS
IDEA,IDEA.NS
PIIND,PIIND.NS
TATAPOWER,TATAPOWER.NS
INDUSTOWER,INDUSTOWER.NS
SJVN,SJVN.NS
DELHIVERY,DELHIVERY.NS
BHARTIARTL,BHARTIARTL.NS
APOLLOHOSP,APOLLOHOSP.NS
LAURUSLABS,LAURUSLABS.NS
LTF,LTF.NS
BALKRISIND,BALKRISIND.NS
INDHOTEL,INDHOTEL.NS
VEDL,VEDL.NS
JSWENERGY,JSWENERGY.NS
JINDALSTEL,JINDALSTEL.NS
BANDHANBNK,BANDHANBNK.NS
ADANIPORTS,ADANIPORTS.NS
CHOLAFIN,CHOLAFIN.NS
GMRINFRA,GMRINFRA.NS
NMDC,NMDC.NS
WIPRO,WIPRO.NS
OBEROIRLTY,OBEROIRLTY.NS
SAIL,SAIL.NS
TATASTEEL,TATASTEEL.NS
ADANIENT,ADANIENT.NS
SUNPHARMA,SUNPHARMA.NS
DIXON,DIXON.NS
SBILIFE,SBILIFE.NS
LTIM,LTIM.NS
HCLTECH,HCLTECH.NS
ICICIPRULI,ICICIPRULI.NS
HINDALCO,HINDALCO.NS
PFC,PFC.NS
AUBANK,AUBANK.NS
INFY,INFY.NS
LICHSGFIN,LICHSGFIN.NS
BEL,BEL.NS
ABCAPITAL,ABCAPITAL.NS
ABB,ABB.NS
HDFCLIFE,HDFCLIFE.NS
TIINDIA,TIINDIA.NS
COALINDIA,COALINDIA.NS
TATACOMM,TATACOMM.NS
UPL,UPL.NS
JSWSTEEL,JSWSTEEL.NS
NAUKRI,NAUKRI.NS
IDBI,IDBI.NS
POONAWALLA,POONAWALLA.NS
ZOMATO,ZOMATO.NS
SUPREMEIND,SUPREMEIND.NS
ADANIPOWER,ADANIPOWER.NS
CONCOR,CONCOR.NS
DALBHARAT,DALBHARAT.NS
RECLTD,RECLTD.NS
ALKEM,ALKEM.NS
NHPC,NHPC.NS
LUPIN,LUPIN.NS
LICI,LICI.NS
M&M,M&M.NS
SRF,SRF.NS
MAXHEALTH,MAXHEALTH.NS
TORNTPHARM,TORNTPHARM.NS
APOLLOTYRE,APOLLOTYRE.NS
MOTHERSON,MOTHERSON.NS
ASTRAL,ASTRAL.NS
ITC,ITC.NS
TVSMOTOR,TVSMOTOR.NS
TATAMOTORS,TATAMOTORS.NS
TITAN,TITAN.NS
EICHERMOT,EICHERMOT.NS
BAJFINANCE,BAJFINANCE.NS
VOLTAS,VOLTAS.NS
TATACHEM,TATACHEM.NS
CUMMINSIND,CUMMINSIND.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
LT,LT.NS
IPCALAB,IPCALAB.NS
TATAMTRDVR,TATAMTRDVR.NS
ZEEL,ZEEL.NS
PETRONET,PETRONET.NS
KOTAKBANK,KOTAKBANK.NS
BERGEPAINT,BERGEPAINT.NS
DLF,DLF.NS
ULTRACEMCO,ULTRACEMCO.NS
ESCORTS,ESCORTS.NS
LALPATHLAB,LALPATHLAB.NS
AUROPHARMA,AUROPHARMA.NS
BIOCON,BIOCON.NS
PATANJALI,PATANJALI.NS
INDUSINDBK,INDUSINDBK.NS
PNB,PNB.NS
BANKBARODA,BANKBARODA.NS
ACC,ACC.NS
INDIANB,INDIANB.NS
CANBK,CANBK.NS
GRASIM,GRASIM.NS
TCS,TCS.NS
POLYCAB,POLYCAB.NS
TORNTPOWER,TORNTPOWER.NS
BHEL,BHEL.NS
ASIANPAINT,ASIANPAINT.NS
HAL,HAL.NS
APLAPOLLO,APLAPOLLO.NS
ICICIBANK,ICICIBANK.NS
VBL,VBL.NS
DRREDDY,DRREDDY.NS
TATAELXSI,TATAELXSI.NS
HEROMOTOCO,HEROMOTOCO.NS
POWERGRID,POWERGRID.NS
IGL,IGL.NS
MAHABANK,MAHABANK.NS
AMBUJACEM,AMBUJACEM.NS
ABFRL,ABFRL.NS
IRCTC,IRCTC.NS
M&MFIN,M&MFIN.NS
SBIN,SBIN.NS
PERSISTENT,PERSISTENT.NS
FORTIS,FORTIS.NS
YESBANK,YESBANK.NS
TRENT,TRENT.NS
MARUTI,MARUTI.NS
POLICYBZR,POLICYBZR.NS
SIEMENS,SIEMENS.NS
INDIGO,INDIGO.NS
RELIANCE,RELIANCE.NS
NTPC,NTPC.NS
SUZLON,SUZLON.NS
GODREJPROP,GODREJPROP.NS
FACT,FACT.NS
HINDPETRO,HINDPETRO.NS
GLAND,GLAND.NS
BPCL,BPCL.NS
MFSL,MFSL.NS
KPITTECH,KPITTECH.NS
JIOFIN,JIOFIN.NS
PIDILITIND,PIDILITIND.NS
SUNTV,SUNTV.NS
ATGL,ATGL.NS
BAJAJFINSV,BAJAJFINSV.NS
GAIL,GAIL.NS
HDFCAMC,HDFCAMC.NS
TECHM,TECHM.NS
SHREECEM,SHREECEM.NS
MRF,MRF.NS
BAJAJHLDNG,BAJAJHLDNG.NS
HAVELLS,HAVELLS.NS
UNIONBANK,UNIONBANK.NS
BRITANNIA,BRITANNIA.NS
NYKAA,NYKAA.NS
COFORGE,COFORGE.NS
MARICO,MARICO.NS
ZYDUSLIFE,ZYDUSLIFE.NS
LTTS,LTTS.NS
BDL,BDL.NS
BOSCHLTD,BOSCHLTD.NS
BANKINDIA,BANKINDIA.NS
TATACONSUM,TATACONSUM.NS
CGPOWER,CGPOWER.NS
JUBLFOOD,JUBLFOOD.NS
LODHA,LODHA.NS
PAGEIND,PAGEIND.NS
DABUR,DABUR.NS
ICICIGI,ICICIGI.NS
MAZDOCK,MAZDOCK.NS
HINDUNILVR,HINDUNILVR.NS
IRFC,IRFC.NS
AXISBANK,AXISBANK.NS
HDFCBANK,HDFCBANK.NS
GUJGASLTD,GUJGASLTD.NS
TATATECH,TATATECH.NS
NESTLEIND,NESTLEIND.NS
IDFCFIRSTB,IDFCFIRSTB.NS
OFSS,OFSS.NS
IOC,IOC.NS
SYNGENE,SYNGENE.NS
JSWINFRA,JSWINFRA.NS
ADANIENSOL,ADANIENSOL.NS
COLPAL,COLPAL.NS
GODREJCP,GODREJCP.NS
BSE,BSE.NS
KALYANKJIL,KALYANKJIL.NS
DEEPAKNTR,DEEPAKNTR.NS
SONACOMS,SONACOMS.NS
ONGC,ONGC.NS
OIL,OIL.NS
PRESTIGE,PRESTIGE.NS
ADANIGREEN,ADANIGREEN.NS
SBICARD,SBICARD.NS
UNITDSPR,UNITDSPR.NS
DMART,DMART.NS
FEDERALBNK,FEDERALBNK.NS
RVNL,RVNL.NS
MANKIND,MANKIND.NS